"Id","Title","Body"
"https://gazeta.ua/ru/post/943162","Умерла французская актриса Анна Карина","Умерла французская актриса Анна Карина. Ей было 79 лет. Карина боролась с онкозаболеваниями, сообщает ""24 канал"". На последней стадии рака у нее обнаружили значительные осложнения. Лечение не помогло. ""Ее взгляд был взглядом ""Новой волны"". Так останется навсегда. Анна Карина была музой режиссера Годара, но также Ривете или Висконти. Она магнетизировала весь мир. Сегодня французское кино осиротело. Оно потеряло одну из своих легенд"", - заявил министр культуры Франции Франк Ристер. Анна Карина происходит из Дании. Она начала сниматься в фильмах с 14 лет. Фильм ""Девушка в туфельках"" принес ей мировую славу. Актрису заметили режиссеры и посоветовали ей переехать во Францию. В 1958 году она поселилась в Париже. ЧИТАЙТЕ ТАКЖЕ: Скончался модельер Патрик-Луи Витон  Актриса начала сотрудничество с режиссером Жаном-Люком Годаром. Играла в фильмах ""Женщина есть женщина"". ""Жить вместе"", ""Сюзанна Симонен, монахиня Дени Дидро"", ""Драже с перцем"", ""Шахерезада"", ""Свидание в Бре"", ""Остров сокровищ"", ""Аве Мария"", ""Философский камень"", ""Человек, который хотел быть виновным"", ""Правда о Чарли"".  12 ноября 1993-го года в Нью-Йорке от сердечного приступа умерла знаменитая актриса 20-30-х годов Анна Стен. Ее называют американской актрисой, поскольку взлет кинокарьеры Стэн состоялся в Голливуде. Однако по происхождению одна из самых красивых артисток Старого Голливуда Анна Стен была украинкой. "
"https://gazeta.ua/ru/post/943161","Сборная Украины провалила мужскую эстафету","Мужская сборная Украины по биатлону провалилась в эстафете на этапе Кубка мира в австрийском Хохфильцене. Украинцы заняли лишь 11 место. Победу праздновала сборная Норвегии. Наша сборная держалась в десятке, пока на этапах были .Руслан Тищенко и Артем Прима. Оба биатлонисты использовали дополнительные патроны, но на штрафные круги не попадали. Ситуация резко ухудшилась, когда на третий этап вышел Руслан Ткаленко. На лежке он ушел на штрафной круг, который отбросил Украину на 15 место. Дмитрий Пидручный вытащил команду на 11 место, но отставание было огромным - три с половиной минуты. Странно, почему тренеры не поставили Антона Дудченко, который в спринте и в гонке преследования почти не промахивался.   ЧИТАЙТЕ ТАКЖЕ: Украинки не смогли бороться за медали в гонке преследования  На прошлой этапе в Эстерсунде сборная Украины финишировала на 6 месте. "
"https://gazeta.ua/ru/post/943158","Декабрь как март: синоптики удивили прогнозом на следующую неделю","На следующей неделе в Украине ожидается теплая и сухая погода. Завтра будет без осадков. Температура воздуха днем ​​будет колебаться от +4 до +8 градусов. В западных областях поднимется до +10 ... + 13 градусов, сообщает Украинский гидрометцентр. Во вторник осадков не прогнозируют. Температура воздуха не изменится. В среду температура воздуха в западных областях возрастет. Там прогнозируют потепление до +11...+15 градусов. На остальной территории днем ​​от +5 до +9 градусов, в южных областях до +10. ЧИТАЙТЕ ТАКЖЕ: Сильные морозы: какой будет погода в Новый год В четверг в Украине похолодает. На западе температура воздуха опустится до +7...+10 градусов. В остальных областях днем ​​от +5 до +7 градусов, местами температура возрастет до +9.  15 и 16 декабря в Украине начнется ухудшение погоды. Ожидается пасмурная погода, местами дождь и мокрый снег. Об этом сообщает Укргидрометцентр. "
"https://gazeta.ua/ru/post/943160","Шотландия заговорила о независимости","Лондон не сможет удерживать Эдинбург в составе Соединенного Королевства против его воли. Заявила лидер Шотландской национальной партии (SNP) Никола Старджен, об этом сообщает BBC News. По ее словам, показатель поддержки SNP на парламентских выборах (партия заняла 3 место) дает ей мандат на проведение нового референдума о независимости Шотландии от Соединенного Королевства. Добавила, что референдум состоится, несмотря на возражения премьер-министра Бориса Джонсона. ""Если он (Джонсон - ред. Gazeta.ua) полагает, что сказанное им"" нет ""заканчивает эту историю, то он обнаружит, что он абсолютно, в высшей степени не прав"", - заявила она. Стерджа подчеркнула, что британское правительство не сможет удерживать Шотландию в составе Соединенного Королевства против ее воли. ""Вы не можете удерживать Шотландию в составе союза против ее воли. Продолжение существования Британии возможно только на основании согласия. Если Джонсон уверен, что шотландцы хотят остаться в составе Великобритании, то он должен дать им возможность высказаться по этому поводу"", - сказала лидер SNP.  В шотландском Глазго 2 ноября состоялась массовая демонстрация за независимость от Великобритании. Организаторы оценили количество участников в 20 000 человек. "
"https://gazeta.ua/ru/post/943156","""Вы вообще кто, гражданин?"" - пьяная водитель Bentley нахамила патрульным","Ночью в столице патрульные полицейские остановили автомобиль Bentley под управлением нетрезвой женщины-водителя. За вождение в нетрезвом состоянии составили протокол. При этом, водитель и ее подруга вели себя вызывающе и хамили полицейским. Видео с места инцидента опубликовали на странице паблик ""Киев оперативный"" в Facebook. ЧИТАЙТЕ ТАКЖЕ: От тела осталась только рука: подробности страшного ДТП под Киевом   В Киеве электронная система TruSign зафиксировала автомобиль, который проехал Столичным шоссе на скорости 288 км/ч. "
"https://gazeta.ua/ru/post/943157","Патриарх Варфоломей посетит Украину","Украину скоро посетит патриарх вселенский Варфоломей. Митрополит Киевский и всея Украины Епифаний заявил об этом во время литургии по случаю годовщины создания поместной Церкви, сообщает ""5 канал"". Епифаний сообщил, что еще несколько церквей присоединятся к украинской поместной церкви в 2020 году. ЧИТАЙТЕ ТАКЖЕ: К ПЦУ могут присоединиться архиереи Московского патриархата  Год назад в Софии Киевской собрали объединительный собор, который завершился созданием Православной церкви Украины.  В 10.00 утра 15 декабря 2018 60 архиереев начинают Объединительный собор в Софийском соборе в Киеве. Перед тем отслужили литургию, сдали телефоны и другую технику для поддержания безопасности. "
"https://gazeta.ua/ru/post/943152","""Динамо"" с боями победило ""Десну""","Киевское ""Динамо"" одолело в Чернигове местную ""Десну"" - 1:0 и вышло на второе место в чемпионате Украины. Единственный мяч в первом тайме забил Виктор Цыганков. Говорить о каком-то прорыве в ""Динамо"" преждевременно. В отличие от предыдущих поединков, киевляне допустили меньшее количества ошибок и забрали в ""Десны"" три зачетных балла. Оборона ""Динамо"" далека от идеала, а без Дениса Попова, который захромал во втором тайме, то и вообще растрепанная. Во втором тайме киевляне должны благодарить Георгию Бущану, который как минимум дважды спасал подопечных Михайличенко от гола.  Фран Соль вряд ли убедил тренеров ""Динамо"", что он лучше Родригеша и Соля  Фран Соль вряд ли убедил тренеров ""Динамо"", что он лучше Родригеша и Соля. Пожалуй нападающие киевлян стали заложниками высокой конкуренции. По крайней мере никто из них не отличался стабильностью в течение всей осени, с момента замены главного тренера. Виктор Цыганков и Виталий Миколенко остаются единственными светлыми пятнами в нынешнем составе ""Динамо"". Даже Беньямин Вербич, который забил немало решающих голов, не сумел реализовать пенальти на последней добавленной минуте. С пенальти у динамовцев намечаются серьезные проблемы.  ЧИТАЙТЕ ТАКЖЕ: Почему ""Шахтер"" победил ""Зарю""  ""Динамо"" заканчивает осеннюю часть чемпионата на привычной второй строчке, но никогда еще игра клуба не получила столько уничтожающей критике. Если не произойдет качественного прорыва весной, то ""Динамо"" начнет следующий чемпионат с новым тренером. "
"https://gazeta.ua/ru/post/943155","Праздник приближается: как знаменитости украшают свои елки"," До Нового года 2020 осталось две недели. По всему миру люди начинают активно готовиться к празднованию. Так, в Instagram появилось множество снимков, где знаменитости демонстрируют, как украшают свои дома накануне праздника, пишет ""НВ"". ЧИТАЙТЕ ТАКЖЕ: Сладкие елки: показала впечатляющие новогодние десерты Новогодние огни уже зажгли представители королевских семей, голливудские актрисы, украинские телеведущие и многие другие.  В 2020 году балом будет руководить белый Щур. Большинство людей любит Новый год не за бой курантов и праздничный стол, а за атмосферу праздника. Для ее создания стоит поработать. "
"https://gazeta.ua/ru/post/943153","Настя Каменских очаровала перевоплощением в образ Лилу из ""Пятого элемента"""," Украинская певица Настя Каменских вызывала восхищение болельщиков ярким образом в стиле главной героини фильма ""5 элемент"", роль которой исполняла Милла Йовович. Артистка появилась на съемках проекта Х-фактор в парике со светлым каре и оранжевой коротком платье с черными вставками. Образ дополнила лаковыми ботфортами и ярким вечерним макияжем с выразительным смоки айс. ЧИТАЙТЕ ТАКЖЕ: Настя Каменских показала интимное фото из ванной ""Сегодня я Лилу Даллас из фильма 5 элемент. Для настоящего артиста 5 элементом является его собственный #xfaktor"", - написала певица.  На предыдущем эфире шоу Настя Каменских, она же NK, также была в интересном образе: перекрасила волосы в ярко-красный цвет. Одежда она подобрала в тон к нему - красную кожаную платье. "
"https://gazeta.ua/ru/post/943151","В Крыму затонул док с субмариной: появились подробности","В оккупированном Севастополе затонул плавучий док ПД-16 со списанной подводной лодкой Б-380 ""Святой князь Георгий"". Подводная лодка уже всплыла, сообщает ""Интерфакс"". Источники сообщили, что лодку затопило из-за технического состояния дока. Очевидцы сообщают, что плавдок затонул не полностью. Верхняя часть находится на поверхности. При этом подводная лодка накренилась. Вокруг места аварии буксир устанавливает ограждение. Разлива нефтепродуктов не наблюдается. ЧИТАЙТЕ ТАКЖЕ: Российские самолеты провели ""воздушный бой"" над оккупированным Крымом  Плавдок ПД-16 был заложен в 1938 году. Подводную лодку Б-380 ""Святой князь Георгий"" спустили на воду в августе 1982 года. В 1991 году планировался к передаче Украине. В 1996 году правительство Украины отказался от лодки из-за его плохого технического состояния. Со второй половины 2000-х годов лодка находилась в ожидании ремонта.   В ночь на 15 декабря в Южной бухте Севастополя затонул плавучий док со списанным подводной лодкой Б-380, принадлежавший ЧФ РФ. "
